"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",3.63333333333333,4,1.18854687672002,0.000908738488177804,"Not Normal",0.893481464810534
"s1",3.04347826086957,3,1.46095426067302,0.00853000376131324,"Not Normal",0.686677070325599
"s2",2.86666666666667,3,1.47935991128813,0.0024420759538205,"Not Normal",0.686677070325599
"s1",3.91304347826087,4,0.949308048396825,0.000523194165632118,"Not Normal",0.00728468888717592
"s2",3.2,3,0.924755326447544,0.000142534979355353,"Not Normal",0.00728468888717592
"s1",3.82608695652174,4,1.26678454482361,0.00101823122733971,"Not Normal",0.205402118594768
"s2",3.5,4,1.07478947417301,0.00033050261197602,"Not Normal",0.205402118594768
"s1",3.52173913043478,4,1.08164711172743,0.0291022567745902,"Not Normal",0.903155700669254
"s2",3.56666666666667,4,1.07264845715811,0.00897997107659606,"Not Normal",0.903155700669254
"s1",3.26086956521739,3,1.32175473258942,0.0237006563019475,"Not Normal",0.0756169255425422
"s2",3.9,4,1.06187862154606,0.000177673420440506,"Not Normal",0.0756169255425422
"s1",3.73913043478261,4,1.17617992224241,0.00209659967673467,"Not Normal",0.205361801311919
"s2",4.1,4,1.09387006730138,4.8144817827404e-05,"Not Normal",0.205361801311919
"s1",2.73913043478261,3,1.35570817804999,0.0275053512027751,"Not Normal",0.259711706306097
"s2",2.3,2,1.11880478097434,0.000702922062318389,"Not Normal",0.259711706306097
"s1",3.52173913043478,4,1.12288448436043,0.00137053974742659,"Not Normal",0.513204596144407
"s2",3.66666666666667,4,1.21295686972625,0.00018058857399107,"Not Normal",0.513204596144407
"s1",3.47826086956522,4,1.16266016364477,0.00152629531375104,"Not Normal",0.567907068828133
"s2",3.63333333333333,4,1.18854687672002,0.000134519225339409,"Not Normal",0.567907068828133
"s1",3.56521739130435,4,1.19947287500202,0.000930999423003928,"Not Normal",0.596293780842968
"s2",3.66666666666667,4,1.32178910450253,4.3302563200184e-05,"Not Normal",0.596293780842968
"s1",3.08695652173913,3,1.23997959947518,0.015478164273658,"Not Normal",0.543527465104402
"s2",3.3,4,1.20773369980935,0.00473923153191528,"Not Normal",0.543527465104402
"s1",3.08695652173913,3,1.16435871847831,0.021429577644831,"Not Normal",0.208482108444805
"s2",3.46666666666667,3.5,0.937102406111643,0.00347067772603096,"Not Normal",0.208482108444805
"s1",3.69565217391304,4,1.01957132742129,0.00229624905521266,"Not Normal",0.788952263671519
"s2",3.73333333333333,4,0.691491807283521,0.000178801929509641,"Not Normal",0.788952263671519
"s1",2.43478260869565,2,0.992063366585098,0.00742527644133147,"Not Normal",0.288496310927506
"s2",2.7,3,1.02216808119159,0.00723932935949066,"Not Normal",0.288496310927506
