"Column","Mean","Median","StdDev","P_Value","Normal","Wilcoxon_P_Value"
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s2",NA,NA,NA,NA,"Not enough data",NA
"s1",NA,NA,NA,NA,"Not enough data",NA
"s1",3.89285714285714,4,0.875141711880434,0.00120047809915929,"Not Normal",0.304102326076859
"s2",4.1,4,0.844862771962569,8.34981647767354e-05,"Not Normal",0.304102326076859
"s1",2.71428571428571,3,0.975900072948533,0.00341550795548116,"Not Normal",0.816305624093487
"s2",2.7,3,0.749712588607955,1.90990218183613e-05,"Not Normal",0.816305624093487
"s1",3.75,4,0.751541625470482,0.000985202231394579,"Not Normal",0.853763516119421
"s2",3.66666666666667,4,0.922266074754828,0.00135336694859072,"Not Normal",0.853763516119421
"s1",3.85714285714286,4,0.590936840285279,1.88785209465139e-05,"Not Normal",0.575320675818212
"s2",3.93333333333333,4,0.739679955644067,0.000267151141918858,"Not Normal",0.575320675818212
"s1",3.39285714285714,3,0.956044540814477,0.00305509846998716,"Not Normal",0.215520864452963
"s2",3.06666666666667,3,1.11210683353507,0.00368917143279226,"Not Normal",0.215520864452963
"s1",3.64285714285714,4,0.989361399507773,2.22473473317182e-05,"Not Normal",0.786156367174966
"s2",3.53333333333333,4,1.07425461996016,1.00128952727535e-06,"Not Normal",0.786156367174966
"s1",3.03571428571429,3,1.07089934019281,0.00493472934067424,"Not Normal",0.24217497778763
"s2",3.36666666666667,4,1.09806517403876,0.00528169376839102,"Not Normal",0.24217497778763
"s1",3.96428571428571,4,0.88116685505926,0.000873709048071051,"Not Normal",0.659612300820726
"s2",3.83333333333333,4,0.949894125981792,9.61500969617264e-05,"Not Normal",0.659612300820726
"s1",3.64285714285714,4,0.826159598709403,1.93871695643554e-05,"Not Normal",0.911979407509948
"s2",3.63333333333333,4,1.06619961038982,0.00306506711834954,"Not Normal",0.911979407509948
"s1",3.82142857142857,4,1.02029666813398,0.0011466037550177,"Not Normal",0.60432667675542
"s2",4,4,0.8304547985374,0.000667397934458826,"Not Normal",0.60432667675542
